City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,strezhevoy,60.7333,77.5889,5.17,66,56,4.3,RU,1686866338
243,namtsy,62.7161,129.6658,14.33,71,96,3.63,RU,1686866618
244,xilin hot,43.9667,116.0333,21.09,41,51,0.51,CN,1686866619
245,altayskoye,51.9533,85.3325,8.9,88,2,2.6,RU,1686866622
246,hilo,19.7297,-155.09,27.93,76,75,4.63,US,1686866622
247,pacific grove,36.6177,-121.9166,22.12,85,100,4.63,US,1686866623
248,dudinka,69.4058,86.1778,5.9,87,100,3.33,RU,1686866623
249,castillos,-34.1667,-53.8333,10.75,88,87,2.6,UY,1686866623
250,teknaf,20.8624,92.3058,27.1,91,97,3.5,BD,1686866474
251,santa ana,33.7456,-117.8678,24.78,73,100,3.6,US,1686866551
252,sao francisco de paula,-29.4481,-50.5836,11.69,100,100,2.02,BR,1686866623
253,arraial do cabo,-22.9661,-42.0278,24.92,73,40,6.69,BR,1686866623
254,ghanzi,-21.5667,21.7833,12.84,19,0,3.68,BW,1686866623
255,alice springs,-23.7,133.8833,1.75,75,26,2.57,AU,1686866624
256,seven pagodas,12.6264,80.1722,31.03,77,56,6.64,IN,1686866624
257,mbanza-ngungu,-5.25,14.8667,20.32,84,3,1.21,CD,1686866625
258,richfield,44.8833,-93.283,23.52,45,40,6.17,US,1686866625
259,rundu,-17.9333,19.7667,12.93,16,0,1.66,NA,1686866625
260,ha'il,27.5219,41.6907,27.11,20,0,3.26,SA,1686866556
261,pandan,14.0453,124.1694,27.13,85,100,2.31,PH,1686866626
262,sur,22.5667,59.5289,32.33,52,100,3.28,OM,1686866483
263,katsuren-haebaru,26.3369,127.8719,24.21,60,75,0.0,JP,1686866626
264,guane,22.2025,-84.0875,31.86,57,5,4.86,CU,1686866626
265,vol'sk,52.0333,47.3833,17.89,91,100,3.53,RU,1686866345
266,coelho neto,-4.2567,-43.0128,27.17,66,66,0.41,BR,1686866626
267,al 'aziziyah,32.9058,45.0616,32.55,21,0,9.66,IQ,1686866576
268,boundiali,9.5217,-6.4869,22.82,93,89,1.53,CI,1686866627
269,revelstoke,50.9832,-118.2023,19.58,48,83,1.44,CA,1686866627
270,kizhinga,51.8462,109.9097,6.98,54,65,0.82,RU,1686866627
271,tura,25.5198,90.2201,22.53,98,75,2.96,IN,1686866627
272,glendive,47.1053,-104.7125,22.09,43,75,6.17,US,1686866627
273,urzhar,47.093,81.6294,12.64,47,29,3.86,KZ,1686866628
274,dumraon,25.55,84.15,34.98,33,8,4.18,IN,1686866628
275,clarion,41.2148,-79.3853,22.32,58,99,0.97,US,1686866628
276,carnarvon,-24.8667,113.6333,15.86,83,0,5.45,AU,1686866628
277,ra-ngae,6.2968,101.7284,23.51,95,95,1.75,TH,1686866628
278,flying fish cove,-10.4217,105.6791,25.82,83,75,5.66,CX,1686866629
279,gadzhiyevo,69.2551,33.3362,4.88,65,60,9.47,RU,1686866629
280,kudahuvadhoo,2.6708,72.8944,28.56,74,100,6.29,MV,1686866629
281,coahuayana de hidalgo,18.7,-103.6583,33.06,49,30,3.63,MX,1686866629
282,lazaro cardenas,17.9583,-102.2,31.15,62,78,5.79,MX,1686866630
283,salym,60.0625,71.4789,6.44,63,92,3.88,RU,1686866630
284,mount isa,-20.7333,139.5,7.87,53,15,2.06,AU,1686866630
285,tazacorte,28.629,-17.9293,22.54,95,75,5.14,ES,1686866440
286,motueka,-41.1333,173.0167,7.83,82,80,1.53,NZ,1686866534
287,kuanda,56.3161,116.0806,7.67,81,19,1.1,RU,1686866631
288,posto fiscal rolim de moura,-13.0833,-62.2667,20.02,66,3,1.28,BR,1686866631
289,coquimbo,-29.9533,-71.3436,14.85,72,0,1.03,CL,1686866631
290,alofi,-19.0595,-169.9187,23.94,88,100,4.12,NU,1686866631
291,jayapura,-2.5333,140.7,23.66,91,100,2.06,ID,1686866632
292,wriezen,52.7209,14.1343,15.27,93,70,1.79,DE,1686866417
293,haflong,25.1833,93.0333,22.46,98,100,1.56,IN,1686866632
294,luanda,-8.8368,13.2343,23.0,83,100,2.57,AO,1686866632
295,la'ie,21.6477,-157.9253,27.66,80,15,5.36,US,1686866632
296,okhotsk,59.3833,143.3,9.9,90,98,0.98,RU,1686866632
297,nenjiang,49.1833,125.2167,15.82,64,78,0.98,CN,1686866544
298,tombodu,8.1333,-10.6167,22.56,99,99,1.37,SL,1686866633
299,isiro,2.7739,27.616,19.7,95,100,0.49,CD,1686866633
300,pierre,44.3683,-100.351,33.51,40,0,5.14,US,1686866634
301,myrina,39.8797,25.0742,19.58,83,20,0.0,GR,1686866634
302,nikol'sk,53.7189,46.0712,15.44,81,100,3.21,RU,1686866634
303,fort bragg,35.139,-79.006,31.57,52,20,7.2,US,1686866634
304,ola,59.5833,151.2833,7.73,94,100,2.36,RU,1686866634
305,robertsganj,24.7,83.0667,31.28,36,2,2.77,IN,1686866634
306,winnemucca,40.973,-117.7357,23.03,12,0,5.66,US,1686866635
307,vrangel',42.7297,133.0839,16.12,92,92,3.85,RU,1686866628
308,shippensburg,40.0507,-77.5203,25.93,48,4,1.79,US,1686866636
309,puerto baquerizo moreno,-0.9,-89.6,26.55,74,75,4.63,EC,1686866636
310,tsiombe,-25.3,45.4833,17.13,73,0,2.93,MG,1686866636
311,vadso,70.0744,29.7487,5.49,75,75,4.12,NO,1686866637
312,pakala,13.4667,79.1167,29.13,50,84,2.59,IN,1686866637
313,urangan,-25.3,152.9,13.74,54,0,4.09,AU,1686866637
314,kiunga,-6.1219,141.2906,23.34,99,99,0.68,PG,1686866637
315,ascension,30.2169,-90.9001,35.71,64,75,4.63,US,1686866637
316,punta del este,-34.9667,-54.95,12.71,82,3,2.68,UY,1686866537
317,inhambane,-23.865,35.3833,19.51,37,0,3.01,MZ,1686866638
318,santiago,-33.4569,-70.6483,19.05,31,0,2.57,CL,1686866602
319,san antonio de pale,-1.4014,5.6325,25.33,80,100,4.96,GQ,1686866638
320,elko,41.0002,-115.5012,18.74,17,0,4.47,US,1686866638
321,pikeville,37.4793,-82.5188,28.33,58,40,2.06,US,1686866638
322,shahrak,34.1074,64.3052,14.27,26,0,1.62,AF,1686866638
323,malpe,13.35,74.7167,26.61,79,79,0.85,IN,1686866638
324,la passe,45.5549,-0.8967,18.32,87,71,2.68,FR,1686866638
325,port hedland,-20.3167,118.5667,17.03,36,88,0.0,AU,1686866639
326,derzhavinsk,51.1,66.3167,16.88,43,70,3.12,KZ,1686866639
327,kondagaon,19.6,81.6667,27.51,44,77,1.01,IN,1686866639
328,saquarema,-22.92,-42.5103,25.02,85,100,3.11,BR,1686866639
329,sinop,41.7711,34.8709,14.17,87,3,2.13,TR,1686866360
330,beruniy,41.6911,60.7525,23.98,33,0,3.09,UZ,1686866639
331,glace bay,46.1969,-59.957,15.61,94,100,3.6,CA,1686866639
332,at taj,24.2049,23.2857,32.3,15,0,2.22,LY,1686866639
333,dryden,49.7833,-92.7503,22.9,24,43,2.78,CA,1686866640
334,ust-nera,64.5667,143.2,16.0,53,100,1.35,RU,1686866640
335,belyy yar,53.6039,91.3903,6.94,93,0,0.0,RU,1686866640
336,nikolayevsk,50.0282,45.4595,20.0,74,100,0.87,RU,1686866640
337,wuhan,30.5833,114.2667,24.03,75,100,0.19,CN,1686866597
338,owatonna,44.0839,-93.226,23.41,50,0,4.12,US,1686866640
339,jacmel,18.2342,-72.5347,32.91,69,25,4.4,HT,1686866640
340,poso,-1.3959,120.7524,24.33,81,93,2.21,ID,1686866641
341,bryne,58.7354,5.6477,18.81,72,20,2.06,NO,1686866603
342,poronaysk,49.2167,143.1167,15.05,72,0,1.54,RU,1686866641
343,east london,-33.0153,27.9116,14.97,74,29,11.14,ZA,1686866636
344,hinatuan,8.3722,126.3342,24.65,94,100,4.26,PH,1686866642
345,sinabang,2.4803,96.3801,26.57,77,92,1.16,ID,1686866642
346,champerico,14.3,-91.9167,30.73,66,12,3.23,GT,1686866642
347,amga,60.8953,131.9608,14.47,69,95,3.29,RU,1686866642
348,kinmparana,12.8402,-4.9199,29.04,61,76,3.22,ML,1686866643
349,perechyn,48.7333,22.4667,17.3,82,100,2.23,UA,1686866553
350,tromso,69.6496,18.957,8.01,81,75,2.57,NO,1686866643
351,masterton,-40.9597,175.6575,8.35,77,0,1.84,NZ,1686866643
352,black river,18.0264,-77.8487,31.19,60,72,8.2,JM,1686866643
353,tlahualilo de zaragoza,26.1167,-103.45,39.95,6,98,4.26,MX,1686866645
354,kratie,12.4881,106.0188,25.14,95,100,0.62,KH,1686866645
355,merrill,45.1805,-89.6835,13.43,62,75,4.12,US,1686866646
356,midland,31.9974,-102.0779,40.59,7,0,6.69,US,1686866647
357,praia da vitoria,38.7333,-27.0667,18.76,81,19,3.57,PT,1686866647
358,dungarvan,52.0881,-7.6253,16.98,100,9,0.89,IE,1686866542
359,mossel bay,-34.1831,22.146,12.74,81,3,3.17,ZA,1686866648
360,bodo,67.28,14.405,9.97,96,100,3.6,NO,1686866564
361,trairi,-3.2778,-39.2689,26.32,75,32,4.68,BR,1686866648
362,kaihua,23.3687,104.28,19.25,97,99,1.56,CN,1686866649
